category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
Narrative Film,Film & Video,failed,60,US,6646,40000,32
Animation,Film & Video,failed,20,US,2531,123000,29
Music,Music,failed,16,US,1325,10000,31
Video Games,Games,canceled,3,NL,32.89,1096298.89,59
Product Design,Design,successful,666,AU,45736.52,9405.57,39
Shorts,Film & Video,failed,0,GB,0,3223.1,19
Comics,Comics,successful,505,US,22662.01,12000,29
Performance Art,Art,failed,3,US,3,52000,59
Hip-Hop,Music,failed,1,US,10,1500,59
Music,Music,undefined,0,undefined,7903,7500,29
Film & Video,Film & Video,failed,4,US,230,10000,59
Shorts,Film & Video,failed,42,US,2142,10000,29
Music,Music,undefined,0,undefined,161,1500,29
Software,Technology,failed,4,US,150,12000,59
Places,Photography,successful,24,CA,2690.16,2687.98,31
Small Batch,Food,successful,106,US,5317.42,2500,29
Radio & Podcasts,Publishing,failed,0,US,0,3999,29
Product Design,Design,successful,46,AU,3206.73,1425.21,42
Video Games,Games,failed,1,US,50,100000,29
Music,Music,successful,42,US,5020,5000,89
Documentary,Film & Video,failed,1,US,5,1000,29
Games,Games,failed,2,US,100,7000,29
Shorts,Film & Video,successful,52,US,6155,5000,45
Farms,Food,failed,7,US,113,500,29
Indie Rock,Music,successful,32,US,1600.77,1500,29
Web,Technology,failed,4,US,180,25000,29
Documentary,Film & Video,canceled,6,US,800,10000,30
Country & Folk,Music,successful,163,US,9370,8000,29
Apps,Technology,failed,9,US,584,5500,30
Shorts,Film & Video,successful,44,US,7537.11,7500,26
Design,Design,successful,73,US,6332,6000,29
Performance Art,Art,successful,19,US,2297,2222,33
Music,Music,failed,0,DE,0,11728.97,14
Fiction,Publishing,failed,0,US,0,1000,29
Video Games,Games,failed,19,US,660,30000,29
Documentary,Film & Video,successful,61,US,8065,7500,25
Country & Folk,Music,successful,27,US,1061,500,47
Publishing,Publishing,successful,284,US,37637,6000,17
Publishing,Publishing,failed,0,US,0,20000,59
Poetry,Publishing,failed,0,US,0,5000,58
Accessories,Fashion,canceled,5,GB,490.08,64483.68,29
Children's Books,Publishing,failed,7,US,275,1000,29
Fiction,Publishing,failed,6,US,66,100000,29
Art,Art,successful,123,AU,5661.34,5649.29,29
Electronic Music,Music,successful,10,US,248,200,29
Science Fiction,Film & Video,failed,10,FR,206.66,31703.54,59
Shorts,Film & Video,failed,1,US,50,5000,47
Children's Books,Publishing,successful,17,US,1191,1000,90
Festivals,Theater,successful,154,US,21689,11500,31
Shorts,Film & Video,failed,0,US,0,50000,59
Small Batch,Food,failed,3,US,3,5000,29
Comics,Comics,successful,332,US,11246.8,8000,29
Music,Music,successful,590,US,32115,30000,29
Shorts,Film & Video,failed,2,US,26,500,55
Film & Video,Film & Video,failed,1,ES,1.08,108.05,13
Dance,Dance,successful,49,US,5290,3500,29
Video Games,Games,failed,40,US,10585,44000,29
Painting,Art,failed,0,US,0,5000,29
Webseries,Film & Video,failed,15,US,487,1500,29
Food,Food,failed,36,GB,1196.78,3905.94,19
Fiction,Publishing,successful,198,GB,6048.28,5763.32,12
Shorts,Film & Video,successful,72,US,3976,1000,60
Drinks,Food,failed,115,US,11643,30000,29
Family,Film & Video,failed,8,US,1450,10000,59
Video Games,Games,canceled,4,US,88,60000,30
Music,Music,undefined,0,undefined,456,7500,44
Documentary,Film & Video,failed,1,GB,14.55,4365.86,29
Webseries,Film & Video,failed,0,GB,0,1551.76,59
Software,Technology,live,3,NZ,25.21,3628.18,28
Food,Food,failed,0,US,0,25000,29
Shorts,Film & Video,successful,45,US,5185,5000,44
Mobile Games,Games,successful,11,CA,893.84,892.06,33
Film & Video,Film & Video,failed,5,US,152,15000,29
Hip-Hop,Music,failed,5,US,65,2800,22
Music,Music,failed,147,US,23128,50000,38
Apps,Technology,failed,0,US,0,3000,33
Young Adult,Publishing,failed,0,US,0,100000,1
Shorts,Film & Video,failed,6,US,1410,3000,19
Graphic Novels,Comics,failed,8,GB,129.19,365.63,29
Playing Cards,Games,canceled,3,GB,89.15,1714.35,24
Product Design,Design,successful,364,US,36666,35000,30
Software,Technology,successful,6,FR,112.18,17.71,14
Tabletop Games,Games,failed,28,US,1033,5000,21
Shorts,Film & Video,successful,64,US,14135,12000,59
Children's Books,Publishing,successful,20,US,1500,1250,27
Shorts,Film & Video,successful,13,US,745,500,19
Documentary,Film & Video,failed,39,NL,2277.97,50872.75,44
Flight,Technology,failed,3,US,37,4200,29
Mobile Games,Games,failed,1,CA,0.92,183.08,29
Shorts,Film & Video,successful,106,US,12205,12000,39
Product Design,Design,failed,2,GB,37.98,412.78,6
Art,Art,failed,5,US,45,300,19
Shorts,Film & Video,failed,3,US,100,12000,30
Product Design,Design,successful,345,AU,21315.12,5788.38,39
Food,Food,failed,0,US,0,5000,59
Indie Rock,Music,failed,1,US,50,7500,59
Web,Journalism,canceled,0,US,0,1250,59
Video Games,Games,successful,2009,US,29611.06,25000,29
Poetry,Publishing,canceled,7,CA,425.16,8021.82,29
Technology,Technology,failed,0,US,0,25000,29
Product Design,Design,failed,2,NL,208.23,6183.47,59
Food Trucks,Food,failed,25,US,2165,18000,23
Comic Books,Comics,successful,30,GB,489.67,469.55,20
Tabletop Games,Games,successful,110,US,2094,30,16
Rock,Music,successful,66,US,5240,5000,20
Narrative Film,Film & Video,successful,103,US,6312,5000,29
Art,Art,live,1835,GB,113481.57,13639.77,14
Electronic Music,Music,successful,65,US,1855.38,500,29
Product Design,Design,failed,6,GB,2727.13,115378.41,29
Publishing,Publishing,failed,4,US,210,500,59
Accessories,Fashion,failed,2,US,51,15000,59
Art,Art,failed,3,US,140,3000,25
Musical,Theater,successful,47,US,3876,2000,39
Product Design,Design,failed,7,US,295,13000,34
Narrative Film,Film & Video,canceled,0,GB,0,30679.55,39
Illustration,Art,failed,0,US,0,50,29
Nonfiction,Publishing,failed,1,US,100,10000,44
Technology,Technology,successful,450,US,102167,10000,30
Publishing,Publishing,failed,1,US,75,3500,54
Product Design,Design,failed,3,US,70,3000,29
Apps,Technology,failed,1,US,1,25000,29
Drama,Film & Video,successful,162,GB,14304.44,12979.26,34
Shorts,Film & Video,successful,47,US,2195,1000,29
Food,Food,failed,0,US,0,5000,29
Documentary,Film & Video,failed,9,US,651,50000,59
Technology,Technology,failed,4,US,121,1900,59
Hardware,Technology,failed,18,US,1329,35000,29
Journalism,Journalism,failed,63,GB,2154.94,42858.86,30
Film & Video,Film & Video,failed,1,US,1,15000,59
Country & Folk,Music,successful,13,US,1785,1000,29
Illustration,Art,successful,37,US,637,10,7
Documentary,Film & Video,failed,1,US,25,500,49
People,Photography,failed,0,US,0,10000,29
Food,Food,successful,530,US,16193.52,950,29
Theater,Theater,failed,23,US,7792,20000,29
Art Books,Publishing,successful,43,US,952,350,34
Pop,Music,successful,125,US,12645,8000,44
Technology,Technology,failed,5,DE,333.39,8890.37,29
Apparel,Fashion,failed,1,US,45,675,29
Documentary,Film & Video,failed,17,US,2686,35000,29
Food,Food,failed,0,US,0,2000,59
Documentary,Film & Video,successful,101,US,9788,7500,29
Product Design,Design,successful,17,US,41225,25000,44
Playing Cards,Games,failed,85,AU,1873.99,9220.13,29
Video Games,Games,canceled,2,GB,3.09,926.38,34
Film & Video,Film & Video,failed,0,GB,0,22996.96,24
Music,Music,failed,13,US,872,1500,29
Music,Music,successful,51,US,1153,1000,29
Webseries,Film & Video,successful,87,US,5177.69,5000,30
Musical,Theater,failed,2,US,45,7000,29
Comics,Comics,successful,160,US,16904.48,16000,37
Product Design,Design,canceled,17,DE,891.15,26745.12,48
Shorts,Film & Video,failed,0,CA,0,38862.12,59
Tabletop Games,Games,failed,68,US,2097,12000,29
Illustration,Art,canceled,4,US,380,5000,14
Product Design,Design,failed,0,US,0,1200,29
Photography,Photography,failed,16,GB,1634.48,8147.97,29
Photography,Photography,successful,31,AU,12506.87,12357.79,29
Food,Food,failed,0,US,0,3000,29
Software,Technology,failed,6,GB,121.72,34287.09,59
Webseries,Film & Video,successful,19,US,530,500,5
Farms,Food,failed,4,US,92,1600,29
Apps,Technology,failed,0,US,0,3700,29
DIY Electronics,Technology,successful,33,US,9282,1000,29
Fashion,Fashion,failed,0,US,0,12000,35
Children's Books,Publishing,successful,39,US,2501,1500,59
Fashion,Fashion,failed,22,US,2610,12000,24
Crafts,Crafts,failed,2,GB,32.13,273.13,50
Video Games,Games,failed,821,FR,24931.33,53881.59,29
Dance,Dance,canceled,0,GB,0,98044.02,29
Product Design,Design,successful,1733,US,236888,50000,29
Webcomics,Comics,successful,192,US,11116,8500,29
Fashion,Fashion,successful,44,US,1345,500,20
Digital Art,Art,failed,5,GB,205.69,2110.61,29
Television,Film & Video,canceled,3,US,56,700000,59
Classical Music,Music,successful,50,US,1545,1500,45
Stationery,Crafts,failed,4,AU,176.81,16001.28,29
Fashion,Fashion,failed,20,US,241,3000,29
Children's Books,Publishing,failed,3,GB,167.59,30471.55,29
Food,Food,successful,37,US,4275,4000,29
Hardware,Technology,failed,27,US,2102,50000,59
Comics,Comics,failed,50,US,4527,35000,59
Product Design,Design,successful,519,US,61419,30000,27
Rock,Music,successful,82,US,6551.38,6000,59
Comic Books,Comics,successful,134,US,4453.45,3600,24
Children's Books,Publishing,live,273,US,10153,5000,29
Animals,Photography,failed,0,GB,0,3365.13,29
Product Design,Design,failed,64,US,4308,100000,29
Farms,Food,failed,1,IT,1.12,19552.85,29
Music,Music,successful,14,US,501,500,25
Design,Design,failed,90,IT,1469.56,2116,29
Journalism,Journalism,successful,26,US,1000,1000,29
Shorts,Film & Video,successful,87,GB,6371.77,5589.27,14
Fashion,Fashion,canceled,0,US,0,20000,29
Music,Music,undefined,0,undefined,3134,3000,37
Film & Video,Film & Video,failed,0,US,0,5000,59
Crafts,Crafts,failed,1,CA,0.92,4596.43,29
Apparel,Fashion,successful,135,AU,16327.44,9621.79,32
Tabletop Games,Games,successful,1378,US,46092.27,15000,49
Poetry,Publishing,successful,35,US,1205,1000,29
Public Art,Art,failed,24,US,4160,8000,29
Product Design,Design,failed,4,US,30,7000,20
Documentary,Film & Video,successful,145,US,6330,5800,25
Jewelry,Fashion,failed,10,SG,4835.07,64015.67,29
Product Design,Design,failed,2,AU,151.56,18945.13,34
Design,Design,successful,65,GB,30312.79,28226.57,29
Children's Books,Publishing,failed,0,US,0,4000,29
Electronic Music,Music,successful,71,US,2317.5,2100,29
Fashion,Fashion,failed,3,US,45,5000,30
Art,Art,failed,4,US,144,300,25
Product Design,Design,successful,109,US,25269,25000,44
Product Design,Design,failed,21,IT,1965.95,16802.96,49
Art Books,Publishing,failed,0,US,0,28000,59
Hardware,Technology,failed,25,DE,9652.13,52899.98,39
Technology,Technology,canceled,2,US,26,10000,44
Software,Technology,successful,17,US,275,200,29
Publishing,Publishing,successful,53,US,1345,1200,29
Photography,Photography,successful,46,GB,2487.07,2336.74,29
Narrative Film,Film & Video,successful,313,US,60985,60000,29
Nonfiction,Publishing,failed,40,US,3655,6000,29
Comics,Comics,failed,56,US,3140,10000,59
Hardware,Technology,failed,3,CA,5.44,38822.89,28
Hardware,Technology,failed,0,DE,0,112840.07,30
Product Design,Design,canceled,15,US,1198,79000,35
Tabletop Games,Games,successful,304,US,16784,7000,29
Publishing,Publishing,failed,9,US,300,5200,29
Experimental,Theater,successful,133,US,8164,7000,18
Nonfiction,Publishing,failed,1,US,1,1000,19
Rock,Music,failed,12,US,646,7500,59
Documentary,Film & Video,successful,263,US,20195,20000,29
Childrenswear,Fashion,successful,18,US,718,600,19
Crafts,Crafts,failed,9,US,311,1000,29
Calendars,Publishing,failed,2,US,30,2000,49
Games,Games,successful,276,US,7434,1500,27
Illustration,Art,successful,12,US,430,100,29
Spaces,Dance,failed,1,US,1,3500,34
Tabletop Games,Games,successful,117,US,10335,9600,31
Art,Art,canceled,0,ES,0,52.94,19
Music,Music,failed,1,US,10,1400,59
Comics,Comics,failed,32,US,6305,29000,29
Digital Art,Art,failed,3,US,115,1500,29
Shorts,Film & Video,failed,0,US,0,3500,29
Shorts,Film & Video,successful,91,US,6564,6000,31
Tabletop Games,Games,failed,78,US,2037,12000,29
Tabletop Games,Games,failed,125,US,4580,42000,31
Young Adult,Publishing,failed,1,GB,1.49,372.75,29
Art,Art,live,6,US,157,250,29
Tabletop Games,Games,failed,8,US,750,5000,29
Product Design,Design,canceled,18,US,660,200,21
Technology,Technology,failed,13,US,281,2000,29
Technology,Technology,failed,5,DK,295.26,33552.54,29
Documentary,Film & Video,successful,87,US,15231,15000,29
Music,Music,successful,55,US,2017,2000,29
Thrillers,Film & Video,failed,30,US,1094,7000,29
Pop,Music,failed,0,GB,0,2016.44,59
Theater,Theater,successful,19,US,1960,1500,29
World Music,Music,failed,3,CA,122.26,4075.31,29
Poetry,Publishing,successful,44,US,1307,1050,27
Shorts,Film & Video,failed,2,US,100,10800,89
Digital Art,Art,failed,11,BE,3233.79,55755.03,59
Video Games,Games,successful,1210,US,38311,3210,29
People,Photography,canceled,0,US,0,10000,33
Conceptual Art,Art,successful,21,US,893,600,29
Art,Art,successful,29,GB,215.6,93.47,29
Experimental,Film & Video,failed,7,DE,260.13,2665.25,29
Technology,Technology,failed,17,CA,11826.07,75426.16,59
Music,Music,successful,28,US,5413.43,5000,59
Film & Video,Film & Video,failed,1,US,1,10000,59
Comedy,Film & Video,canceled,19,US,920,32000,59
Knitting,Crafts,failed,15,US,431,1000,29
Food,Food,failed,3,US,201,36000,8
Public Art,Art,successful,61,US,4066.33,3800,39
Fiction,Publishing,failed,0,US,0,1400,29
Tabletop Games,Games,successful,59,US,2164,1650,14
Photography,Photography,canceled,3,US,37,5000,89
Film & Video,Film & Video,successful,21,US,437,300,59
Gadgets,Technology,successful,3964,US,279743,15000,26
Fashion,Fashion,failed,1,US,20,6500,29
Web,Technology,failed,3,US,3,100000,29
Photography,Photography,successful,19,US,771,700,39
Painting,Art,successful,17,US,1525,1500,28
Gadgets,Technology,failed,1,GB,22.76,5235.92,29
Music,Music,successful,103,US,7170.5,7000,42
Web,Journalism,failed,0,CA,0,13839.77,44
Web,Technology,failed,5,DE,87.01,27189.87,44
Shorts,Film & Video,failed,7,US,580,3500,59
Documentary,Film & Video,successful,169,GB,25192.02,16770.08,29
Mixed Media,Art,failed,11,US,316,5000,29
Narrative Film,Film & Video,failed,10,US,375,25000,44
Science Fiction,Film & Video,canceled,2,US,30,380000,29
Product Design,Design,failed,6,US,285,7200,29
Civic Design,Design,failed,39,GB,1273.78,63302.87,59
Comic Books,Comics,successful,65,US,2135,1000,32
Fashion,Fashion,failed,8,US,725,5500,29
Games,Games,canceled,3,US,71.02,500000,28
Technology,Technology,failed,88,US,17454,70000,29
Performances,Dance,successful,33,US,1460,1000,29
Tabletop Games,Games,successful,82,US,4372.63,4000,29
Comedy,Film & Video,successful,29,US,693,500,29
Art,Art,failed,1,US,1,1000,29
Sound,Technology,failed,0,US,0,10000,39
Drinks,Food,failed,6,US,180,10000,29
Young Adult,Publishing,failed,2,NO,27.31,819.17,29
Stationery,Crafts,failed,3,US,11,250,29
Animation,Film & Video,successful,57,US,7350.7,7000,30
Country & Folk,Music,successful,52,US,3205,3000,29
Documentary,Film & Video,failed,1,US,5,4000,29
Crafts,Crafts,failed,8,US,225,18000,55
Tabletop Games,Games,successful,238,US,15060.66,10800,59
Classical Music,Music,successful,63,GB,5090.72,4535.83,29
Shorts,Film & Video,failed,0,GB,0,649.6,29
Punk,Music,successful,194,US,4350,3500,32
Journalism,Journalism,failed,7,US,187,1500,29
Tabletop Games,Games,successful,196,US,22342,15000,30
Comedy,Film & Video,failed,0,US,0,240000,59
Nonfiction,Publishing,successful,306,US,26071.66,20000,20
Product Design,Design,failed,4,US,12,20000,29
Narrative Film,Film & Video,failed,20,US,1085,24000,12
Comics,Comics,successful,115,US,7000,5000,32
Publishing,Publishing,failed,0,US,0,500,20
Periodicals,Publishing,successful,164,US,5923,2800,14
Music,Music,failed,2,US,14,65000,21
Theater,Theater,successful,276,US,53943,34000,29
Video Games,Games,failed,2,GB,3.14,6272.94,27
Web,Technology,failed,0,US,0,90000,42
Comics,Comics,successful,269,US,23892,4300,13
Photobooks,Photography,canceled,0,US,0,2500,29
Children's Books,Publishing,successful,103,US,7617,6000,29
Software,Technology,failed,1,US,25,10000000,0
Film & Video,Film & Video,failed,2,US,10,250000,39
Mixed Media,Art,successful,30,GB,1349.42,1154.58,31
Shorts,Film & Video,successful,46,MX,3573.55,2973.46,19
Zines,Publishing,canceled,0,US,0,5000,28
Photography,Photography,failed,0,US,0,100,57
Indie Rock,Music,failed,5,US,90,22000,59
Music,Music,undefined,0,undefined,6926.83,6066.86,29
Product Design,Design,canceled,34,US,664,7000,59
Webseries,Film & Video,failed,0,US,0,999,46
Documentary,Film & Video,failed,20,US,1085,5600,32
Farms,Food,failed,1,US,100,160000,29
Games,Games,successful,69,US,5145,2407,29
Vegan,Food,failed,8,US,324,5000,27
Product Design,Design,failed,8,US,2812,227000,30
Drinks,Food,failed,4,CA,36.16,4017.68,51
Tabletop Games,Games,failed,59,US,929,2500,29
Product Design,Design,failed,3,US,31,30000,59
Accessories,Fashion,failed,4,US,4,50000,29
Children's Books,Publishing,successful,34,CA,1260.86,1259.2,18
Mobile Games,Games,failed,1,AU,0.94,468.25,29
Design,Design,successful,568,NZ,82857.03,5286.61,28
Games,Games,failed,1,US,2,90000,29
Fashion,Fashion,live,1,ES,12.14,2645.86,29
Mobile Games,Games,failed,4,US,116,3800,29
Product Design,Design,canceled,7,CA,315.89,26705.33,29
Narrative Film,Film & Video,successful,196,US,52053,50000,49
Animation,Film & Video,failed,635,US,21112.68,33000,29
Photography,Photography,successful,30,US,1260,500,9
Indie Rock,Music,canceled,9,US,605,3000,29
Video Games,Games,canceled,30,GB,1006.41,119607.01,39
Community Gardens,Food,successful,10,US,125,125,29
Tabletop Games,Games,successful,116,US,16478.12,5000,29
Webseries,Film & Video,successful,79,GB,7945.98,7630.09,24
Painting,Art,failed,25,US,610,800,29
Art,Art,failed,7,US,670,15000,19
Documentary,Film & Video,successful,736,US,81639.86,50000,29
People,Photography,failed,5,MX,28.97,1843.66,39
Music,Music,undefined,0,undefined,63.14,3833.49,29
Illustration,Art,failed,4,US,128,2000,29
Workshops,Dance,failed,2,US,2,15000,44
Tabletop Games,Games,successful,1321,US,116868.15,15000,24
Accessories,Fashion,failed,22,US,3311,10000,29
Music,Music,failed,2,US,2,5000,59
People,Photography,failed,5,NL,30.28,2242.81,43
Rock,Music,failed,1,US,1,7000,29
Product Design,Design,failed,64,US,5670,30000,39
Tabletop Games,Games,successful,32,US,984,500,29
Fine Art,Photography,failed,4,GB,121.79,15223.71,13
Rock,Music,successful,28,US,2783,2600,14
Hardware,Technology,successful,52,US,5424,5000,34
Video Games,Games,successful,132,US,6186,5000,29
Technology,Technology,successful,25,US,3656,1111,31
Shorts,Film & Video,successful,88,US,5252,5000,21
Ready-to-wear,Fashion,successful,176,CA,4636.54,3858.92,38
Design,Design,failed,58,FR,34481.62,102627.26,39
Shorts,Film & Video,failed,8,US,340,2500,29
Webseries,Film & Video,failed,2,US,2,21500,29
Product Design,Design,failed,3,US,65,8000,29
Food,Food,failed,28,US,990,4444,29
Web,Journalism,failed,1,US,3,3000,10
Festivals,Theater,successful,23,GB,2132,1698.8,29
Fashion,Fashion,failed,0,US,0,1500,29
Painting,Art,failed,1,GB,22.78,3796.05,29
Film & Video,Film & Video,failed,10,US,425,4371,29
Food,Food,successful,53,US,1820.44,200,25
Comic Books,Comics,failed,79,GB,1812.96,4103.41,29
Fiction,Publishing,failed,4,AT,46.85,5713.5,29
Apparel,Fashion,failed,0,US,0,5000,29
Taxidermy,Crafts,failed,1,US,1,5464,29
Dance,Dance,successful,88,US,3423,3000,29
Apparel,Fashion,successful,44,US,18462,18000,20
Comedy,Film & Video,failed,86,GB,36665.05,862956.46,46
Narrative Film,Film & Video,successful,161,US,20605,20000,44
Food,Food,failed,115,US,5396,15000,20
Film & Video,Film & Video,successful,140,US,17319,15000,49
Fashion,Fashion,failed,21,US,641,1900,51
Fiction,Publishing,failed,1,US,10,500,29
Music,Music,failed,0,undefined,2768.2,4578.06,34
Rock,Music,failed,4,US,90,8000,29
Children's Books,Publishing,successful,53,US,3271,3200,39
Tabletop Games,Games,failed,115,US,7883,20000,29
Documentary,Film & Video,failed,1,GB,13.21,739.98,29
Jewelry,Fashion,failed,1,DK,0.74,13241.33,29
Candles,Crafts,canceled,0,GB,0,4687.13,29
Theater,Theater,successful,51,US,2101.69,2000,59
Action,Film & Video,failed,1,US,1,50000,29
Graphic Novels,Comics,failed,36,US,931,2500,29
Web,Journalism,failed,4,US,112,15560,29
Publishing,Publishing,failed,5,US,125,1200,59
Product Design,Design,successful,94,US,2503,2000,29
Farmer's Markets,Food,successful,62,US,4715,3000,29
Web,Journalism,failed,0,US,0,10000,29
Makerspaces,Technology,successful,27,US,20069,20000,29
Action,Film & Video,failed,1,DK,22.65,603.94,29
Drama,Film & Video,failed,0,US,0,100000,29
Music,Music,successful,25,DE,853.82,558.67,59
Apparel,Fashion,successful,35,US,1763,1500,26
Documentary,Film & Video,successful,107,US,5307,5030,25
Fiction,Publishing,failed,1,US,1,1500,34
Documentary,Film & Video,successful,30,US,4400,4000,28
Pottery,Crafts,successful,3,US,28,22,30
Comic Books,Comics,successful,57,US,1503,1500,30
Wearables,Technology,failed,12,US,289,3000,29
Theater,Theater,successful,45,US,1625,1500,25
Fiction,Publishing,successful,26,US,266,225,29
Technology,Technology,failed,6,GB,145.04,211518.7,34
Cookbooks,Food,failed,0,CA,0,91.74,29
Country & Folk,Music,successful,45,US,2700,2400,29
Apparel,Fashion,failed,2,US,2,1000,29
Accessories,Fashion,failed,25,US,1092,12000,27
Comics,Comics,failed,5,US,172,10000,29
Fiction,Publishing,failed,4,US,140,3000,29
Hardware,Technology,failed,1,US,100,50000,14
Painting,Art,successful,20,US,2650,2000,29
Video Games,Games,failed,7,US,82,12500,29
Jazz,Music,failed,27,US,1077,35000,39
Shorts,Film & Video,successful,65,US,2590,2500,29
Food Trucks,Food,failed,6,US,511,25000,29
Film & Video,Film & Video,failed,3,GB,182.54,580.82,17
Documentary,Film & Video,failed,0,US,0,25000,59
Gadgets,Technology,canceled,2,US,140,10001,44
Film & Video,Film & Video,successful,37,GB,2056.35,766.3,59
Art Books,Publishing,canceled,48,GB,2211.91,4472.39,29
Software,Technology,failed,0,CA,0,75397.72,29
Pop,Music,failed,17,US,1180,5000,29
Country & Folk,Music,successful,31,US,4805.29,2500,29
Theater,Theater,successful,13,US,803,800,29
Apparel,Fashion,canceled,2,US,60,1000,12
Small Batch,Food,successful,2,US,100,50,29
Product Design,Design,successful,167,CA,35078.01,24001.92,29
Cookbooks,Food,successful,220,US,9136,8000,16
Film & Video,Film & Video,canceled,0,US,0,1250000,44
Television,Film & Video,failed,1,US,5,5000,29
Video Games,Games,canceled,48,US,4832,50000,29
Drinks,Food,successful,252,GB,32196.14,31676.64,29
Product Design,Design,failed,1,US,25,50000,34
Horror,Film & Video,successful,570,US,75311.27,75000,27
Nonfiction,Publishing,failed,1,US,50,10000,20
Publishing,Publishing,failed,0,US,0,5000,59
Comic Books,Comics,failed,18,US,587,666,15
Fiction,Publishing,successful,19,GB,1563.48,1563.48,29
Documentary,Film & Video,failed,3,US,59,24000,8
Fashion,Fashion,failed,0,GB,0,3268.94,34
Illustration,Art,failed,0,US,0,1500,29
Comics,Comics,successful,266,US,16645.29,6000,45
Documentary,Film & Video,failed,18,US,1151,10000,59
Gadgets,Technology,successful,155,US,49442,30000,46
Web,Journalism,failed,3,US,60,10000,30
Product Design,Design,failed,17,US,687,25000,59
Classical Music,Music,successful,37,GB,2459.05,2392.02,34
Tabletop Games,Games,successful,305,US,18685,2000,13
Shorts,Film & Video,failed,7,US,1215,2400,34
Food Trucks,Food,failed,9,AU,249.6,22969.14,44
Nonfiction,Publishing,failed,3,US,12,27500,29
Rock,Music,successful,24,US,1355,1000,59
Shorts,Film & Video,canceled,1,US,15,1500,29
Nonfiction,Publishing,failed,58,US,4282,20000,29
Drama,Film & Video,successful,36,GB,1273.1,1153.17,26
Fashion,Fashion,canceled,0,US,0,500,14
Dance,Dance,successful,35,US,2245,2100,19
Restaurants,Food,failed,8,US,290,15000,59
Restaurants,Food,failed,0,US,0,15000,29
Events,Food,failed,1,US,1,250000,41
Indie Rock,Music,failed,6,US,499,1700,36
Sculpture,Art,successful,29,US,716.39,600,35
Film & Video,Film & Video,failed,3,US,75,2000,45
Pop,Music,successful,101,AT,8752.32,8538.33,41
Technology,Technology,successful,109,US,2240,1000,29
Indie Rock,Music,successful,49,DE,3541.55,3391.21,31
Film & Video,Film & Video,failed,11,US,511,3000,44
Video Games,Games,canceled,3,FR,124.19,56449.97,29
Painting,Art,failed,31,GB,5186.03,16989.47,29
Farmer's Markets,Food,failed,0,US,0,50000,59
Farms,Food,failed,4,CA,91.27,905.11,23
Documentary,Film & Video,successful,184,US,10804.45,10000,35
Shorts,Film & Video,successful,36,US,2585,2500,12
Apps,Technology,failed,0,US,0,6300,29
Music,Music,failed,4,US,50,3000,60
Hardware,Technology,failed,3,AU,225.11,43967.64,29
Webseries,Film & Video,canceled,0,US,0,157651,59
Crafts,Crafts,successful,56,US,2506.08,2000,14
Rock,Music,successful,65,US,12050,11850,31
Music,Music,successful,23,US,1089,1000,23
Robots,Technology,failed,1,GB,12.54,40316.03,36
Comics,Comics,failed,7,US,107,15000,38
Pop,Music,successful,370,US,23016.95,15000,37
Art,Art,failed,0,GB,0,1714.35,29
Art Books,Publishing,failed,6,US,245,2000,29
Country & Folk,Music,successful,62,US,12605,12000,59
Webseries,Film & Video,canceled,0,US,0,5000,29
Art,Art,failed,0,US,0,60,29
Radio & Podcasts,Publishing,failed,3,US,220,2000,30
Fashion,Fashion,successful,36,US,1168.13,1150,27
Playing Cards,Games,successful,80,NO,3235.47,3104.93,29
Comics,Comics,successful,16,US,415,350,29
Shorts,Film & Video,failed,0,US,0,15000,59
Comics,Comics,successful,36,US,1120,1000,38
Gadgets,Technology,live,9,GB,2291.48,40919.32,49
Apps,Technology,failed,0,US,0,5000,38
Performances,Dance,failed,1,US,15,10000,14
Video Games,Games,failed,3,US,60,100000,59
Apps,Technology,failed,50,US,5731,35000,39
Pop,Music,canceled,0,US,0,1300,29
Music Videos,Film & Video,successful,22,GB,602.51,584.15,13
Technology,Technology,failed,4,ES,46.25,4512.38,59
Shorts,Film & Video,failed,2,US,20,40000,29
Drinks,Food,successful,216,US,36724.13,33000,29
Festivals,Film & Video,successful,53,US,2608.25,2000,29
Installations,Art,successful,33,US,1151,1000,14
Webseries,Film & Video,successful,34,US,2655,2000,29
Comics,Comics,suspended,1,US,20,5000,29
Rock,Music,successful,776,US,50121.24,43000,59
Photo,Journalism,failed,2,US,60,7000,45
Hip-Hop,Music,failed,1,ES,570.15,3420.91,59
Farms,Food,successful,238,US,31458,30000,34
Graphic Novels,Comics,successful,67,GB,4120.97,3963.74,32
Children's Books,Publishing,canceled,0,US,0,50,29
Shorts,Film & Video,successful,16,US,562,500,56
Pop,Music,successful,114,US,11035,10000,29
Comedy,Film & Video,successful,53,US,3276.75,2500,29
Indie Rock,Music,successful,118,US,5550,5000,29
Fashion,Fashion,canceled,1,US,5,5000,30
Events,Comics,canceled,0,US,0,10000,29
Ceramics,Art,successful,62,US,3170,2500,20
Farms,Food,failed,2,US,26,550,29
Shorts,Film & Video,failed,0,US,0,5000,42
Classical Music,Music,successful,258,US,45200,35000,29
Painting,Art,failed,30,US,3457,50000,58
Periodicals,Publishing,successful,65,US,2321.73,2000,29
Narrative Film,Film & Video,canceled,19,US,716,18000,59
Crafts,Crafts,successful,30,US,1062,350,29
Fiction,Publishing,failed,1,US,25,2000,41
